windows_software,linux_equivalents_from_wiki
"Softmaker Office Presentations","LibreOffice Impress; OOImpress; Calligra Stage; WPS Presentation; Softmaker Office Presentations; OnlyOffice Desktop"
"Softmaker TextMaker","OOWriter; AbiWord; WPS Writer; LibreOffice Writer; Calligra Words; FreeOffice TextMaker; OnlyOffice Desktop; Lyx; LaTeX"
"SpamAssassin for Windows",SpamAssassin
SPSS,"Stata; SPSS; PSPP; R-project; S-Plus; Gretl"
Stata,"Stata; SPSS; PSPP; R-project; S-Plus; Gretl"
"Story Architect","Fade In; KIT Scenarist; Story Architect; Trelby; Scrite"
"Sygate SPF","Guarddog; Firestarter; GUFW; iptables"
TeXnicCenter,"Kile; Texmaker; LyX"
Tipp10,"Klavaro; Tipp10; KTouch; Tux Typing; GNU Typist"
"TMPGEnc DVD Author","DVDStyler; Open DVD Producer; DeVeDe"
Traktor,"Mixxx; UltraMixer"
Trelby,"Fade In; KIT Scenarist; Story Architect; Trelby; Scrite"
TurboTax,"GnucAsh; KMyMoney; CrossOver Office with Quicken; lazy8ledger"
TuxGuitar,TuxGuitar
UltraMixer,"Mixxx; UltraMixer"
Verilog,iverilog
"Veritas Backup Exec","LuckyBackup; Déjà Dup; Grsync; Duplicati"
"Virtual DJ","Mixxx; UltraMixer"
Visio,"Calligra Flow; yED; LibreOffice Draw"
Voipbuster,"Skype; Linphone; Asterisk; Empathy; Yate; Jitsi"
"Windows Update","apt-get; Aptitude; portage; rpm; urpmi; yast; yum; Synaptic; Snapcraft (Snap)"
WinEdt,"Kile; Texmaker; LyX"
Winrar,"Karchiver; File Roller; Xarchiver; ark; hjsplit command line tools"
WinRunner,xautomation
Winzip,"Karchiver; File Roller; Xarchiver; ark; hjsplit command line tools"
"Wondershare EdrawMax","Wondershare EdrawMax; Minder; XMind"
"WPS Presentation","LibreOffice Impress; OOImpress; Calligra Stage; WPS Presentation; Softmaker Office Presentations; OnlyOffice Desktop"
"WPS Spreedsheets","LibreOffice Calc; Calligra Sheets; Softmaker Office PlanMaker; WPS Spreedsheets; OOCalc; gnumeric; OnlyOffice Desktop"
"WPS Writer","OOWriter; AbiWord; WPS Writer; LibreOffice Writer; Calligra Words; FreeOffice TextMaker; OnlyOffice Desktop; Lyx; LaTeX"
"WS FTP","FileZilla FTP Client; KFTP (KFTPGrabber); Kasablanca; FireFTP; Konqueror; KBear; gFTP; CrossFTP; Nautilus"
XMind,"Wondershare EdrawMax; Minder; XMind"
Yate,"Skype; Linphone; Asterisk; Empathy; Yate; Jitsi"
yED,"Calligra Flow; yED; LibreOffice Draw"
ZoneAlarm,"Guarddog; Firestarter; GUFW; iptables"
