windows_software,linux_variant
Quassel,Pidgin
RawTherapee,"GIMP; ImageMagick; Krita; Darktable"
RealVNC,rdesktop
"Remote Desktop",rdesktop
Scilab,Octave
SciTE,"Vim; Kate; Sublime Text"
Scribus,"Scribus; Inkscape; Okular"
SeaMonkey,"Thunderbird; Claws Mail"
SFLphone),Zoom
Shotcut,"Kdenlive; DaVinci Resolve"
sK1,Inkscape
Skychart,Stellarium
Slimjet,"Firefox; Chromium; Brave; Vivaldi; LibreWolf"
SMPlayer,"mpv; VLC; Celluloid; MPlayer; Strawberry"
"Softmaker Office",LibreOffice
Solidworks,FreeCAD
Sonique,"VLC; Strawberry"
Sox,Audacity
Stellarium,Stellarium
Strawberry,"VLC; Strawberry"
"Sumatra pdf","Evince; Zathura; Okular"
SVG-edit,Inkscape
SyncToy,"Meld; rsync"
Synfig,"Blender; Krita"
Tahoma2D,"Blender; Krita"
TheGun,"Vim; Kate; Sublime Text"
Thunderbird,"Thunderbird; Claws Mail"
TightVNC,rdesktop
Tixati,"Transmission; qBittorrent"
"Toon Boom Harmony","Blender; Krita"
Transmission,"Transmission; qBittorrent"
Traverso-DAW,"Audacity; DaVinci Resolve"
Tribler,"Transmission; qBittorrent"
Trillian,Pidgin
"Tupi (Tupitube Desk)","Blender; Krita"
"Tux Paint","KolourPaint; Krita"
TVPaint,"Blender; Krita"
UltraVNC,rdesktop
utorrent,"Transmission; qBittorrent"
uTox,Zoom
"VCT - Video Converter & Transcoder","HandBrake; VLC"
Vectr,Inkscape
VidCutter,"Kdenlive; DaVinci Resolve"
Videora,"HandBrake; VLC"
Vivaldi,"Firefox; Chromium; Brave; Vivaldi; LibreWolf"
VLC,"mpv; VLC; Celluloid; MPlayer; Strawberry; HandBrake"
"Vuze (formerly Azureus)","Transmission; qBittorrent"
Waveform,"Audacity; DaVinci Resolve"
Wavesurfer,Audacity
Winamp,"VLC; Strawberry"
"Windows Media Player","mpv; VLC; Celluloid; MPlayer"
"Windows Movie Maker","Kdenlive; DaVinci Resolve"
WinFF,"HandBrake; VLC"
WinMerge,"Meld; rsync"
Wordpad,"Vim; Kate; Sublime Text"
"WPS Office",LibreOffice
Xnview,"GIMP; ImageMagick; Krita; Darktable; Geeqie"
"Xpdf Reader","Evince; Zathura; Okular"
Zoom,Zoom
